form,ideophone,item,concept,meaning,status,foil,order
setsunai,n,trial,SAD,SAD|GLUM,prosaic,kohisyua|mowikua|goyihua,336
herakoi,n,trial,CUNNING,CUNNING|SLY|SNEAKY,prosaic,nohunea|dzokyuzea|zyokurea,337
kebutai,n,trial,SMOKY,SMOKY,prosaic,notyihua|zohiwua|rosyiyua,338
hayai,n,trial,FAST,FAST|QUICK|SPEEDY,iconic,nutua|dzutyua|zyutsua,344
komai,n,trial,SMALL,SMALL|LITTLE|TINY,iconic,netyua|zesua|resyua,345
zyitozyito,y,trial,WET,WET|SOGGY|DAMP,iconic,mahe|wawe|haye,346
syaQkoi,n,trial,COLD TO TOUCH,COLD|CHILLY,iconic,runea|nuzea|murea,347
tsurutsuru,y,trial,SLICK,SLIPPERY|SMOOTH,iconic,hihi|wikyi|yiki,348
bakubaku,y,trial,POUNDING (HEART),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,tyuni|huzi|syuri,349
zyasyizyasyi,y,trial,COARSE,ROUGH|GRITTY|COARSE,iconic,mura|wuna|huma,350
zaQkuzaQku,y,trial,COARSE,ROUGH|GRITTY|COARSE,iconic,guni|kyuzi|kuri,351
biQto,n,trial,A LITTLE BIT,A LITTLE|SLIGHTLY,iconic,tyahe|hawe|syaye,352
tyiisoo,n,trial,TIGHT,TIGHT|PINCHING,iconic,wake|yame|gage,353
suQkiri,y,trial,CLEAR,CLEAR|REFRESHED,iconic,kinaha|mizakya|giraka,354
bisyobisyo,y,trial,WET,WET|SOGGY|DAMP,iconic,tyare|hane|syame,355
pityipityi,y,trial,TIGHT,TIGHT|PINCHING,iconic,syawa|waya|yaga,356
gutyugutyu,y,trial,OOZING,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),iconic,riwi|siyi|tyigi,357
syibui,n,trial,SOUR,SOUR|ACIDIC,iconic,ratyia|nahia|masyia,358
kityii,n,trial,TIGHT,TIGHT|PINCHING,iconic,nawa|zaya|raga,359
kowai,n,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,nezyua|zetyua|retsua,360
hadagu,n,trial,RAP (AT THE DOOR),RAP (at the door)|KNOCK (at the door),prosaic,nuwuri|dzuyusi|zyuhutyi,361
narui,n,trial,FLAT,FLAT|SMOOTH,prosaic,syuhia|kukyia|hukia,362
egarai,n,trial,PRICKLING,PRICKLING|TINGLING,prosaic,oruhua|osukyua|otyukua,363
osorosyii,n,trial,SCARY,SCARY|FRIGHTENING,prosaic,ekehera|emekyena|egekema,364
dogitsuka,n,trial,OILY/HEAVY (FOOD),OILY/HEAVY (food),prosaic,werahinu|yesawizu|hetyayiru,365
kitanai,n,trial,CUNNING,CUNNING|SLY|SNEAKY,prosaic,nahusyua|zawukua|rayuhua,366
kogoru,n,trial,FREEZE,FREEZE,prosaic,nerehi|zesekyi|retyeki,367
nobude,n,trial,RUDE,RUDE|ARROGANT|BRAZEN,prosaic,syetyiwo|kehiyo|hesyiho,368
ikiru,n,trial,HUMID,HUMID|MUGGY,prosaic,anahi|azakyi|araki,369
guzyuguzyu,y,,,,,,
iratyimonai,n,,,,,,
kutabireta,n,,,,,,
tyiputoi,n,,,,,,
zuruzuru,y,,,,,,
esukaQta,n,,,,,,
zyukazyuka,y,,,,,,
hiirakoi,n,,,,,,
biNboQtarasyii,n,,,,,,
ootyakuna,n,,,,,,
tyobiQto,n,,,,,,
bisyonure,n,,,,,,
nobui,n,,,,,,
