form,concept,iconic,item,meaning,foils,goodone,done,notes
katyikatyi,HARD,y,trial,HARD,wuya|nuwa|riru,TRUE,NA,NA
omoi,HEAVY,y,trial,HEAVY,ehea|eyea|ereu,TRUE,NA,NA
atsui,HOT,y,trial,HOT,iwau|ipyau|uyia,TRUE,NA,NA
nuQka,HOT,y,trial,HOT,pyari|wawi|yinu,TRUE,NA,NA
hotoru,HUMID,y,trial,HUMID|MUGGY,wemeQgi|rewepyi|pyeyekya,TRUE,NA,NA
zyitozyito,HUMID,y,trial,HUMID|MUGGY,yaye|rawe|wume,TRUE,NA,NA
syikasyika,ITCHING,y,trial,ITCHING|PRICKLING,wawu|pyanu|yuri,TRUE,NA,NA
nagai,LONG,y,trial,LONG,wuhia|pyuwia|yiruu,TRUE,NA,NA
nurui,LUKEWARM,y,trial,LUKEWARM,pyapyaa|waQkaa|yikiu,TRUE,NA,NA
ookii,NOISY,y,trial,LOUD|NOISY,ena|era|ewu,TRUE,NA,NA
urusai,NOISY,y,trial,LOUD|NOISY,akiwiu|akyiyiu|iQkapyua,TRUE,NA,NA
zyukuzyuku,OOZING,y,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),yina|rira|wawi,TRUE,NA,NA
zyuruzyuru,OOZING,y,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),riQki|wiki|yaQpa,TRUE,NA,NA
bakubaku,POUNDING (HEART),y,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),yina|wiwa|ruri,TRUE,NA,NA
dokidoki,POUNDING (HEART),y,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),yeru|hewu|wena,TRUE,NA,NA
toNtoN,POUNDING (HEART),y,trial,POUNDING (e.g. heart)|DRUMMING (e.g. heart)|BEATING (e.g. heart),yeQ|weQ|meQ,TRUE,NA,NA
hirihiri,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,wupyu|rukyu|naka,TRUE,NA,NA
tyikatyika,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,rari|wani|yuwu,TRUE,NA,NA
syiiN,QUIET,y,trial,QUIET,yaQ|pyaQ|wuQ,TRUE,NA,NA
tataku,RAP (AT THE DOOR),y,trial,RAP (at the door)|KNOCK (at the door),yiwuwa|wiyura|mumini,TRUE,NA,NA
zaQkuzaQku,ROUGH,y,trial,ROUGH|GRITTY|COARSE,wuna|yura|pyiwi,TRUE,NA,NA
zyarizyari,ROUGH,y,trial,ROUGH|GRITTY|COARSE,yiQgu|wikyu|ruQka,TRUE,NA,NA
zyasyizyasyi,ROUGH,y,trial,ROUGH|GRITTY|COARSE,yupya|wuya|riwu,TRUE,NA,NA
marui,ROUND,y,trial,ROUND|CIRCULAR,wiQkia|yiQpia|rupyau,TRUE,NA,NA
adzu,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,iya|iwa|upyi,TRUE,NA,NA
atsukamasyii,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,ipyanuhiyu|iyaruwiwu|uwiwiyupya,TRUE,NA,NA
